"","Project","Text","SDG","Target"
"7479","P088966","project risk procurement rated","No map","No map.NA"
"7480","P088966","organized basis modules imonitoring environmental impacts construction iimonitoring environmental impacts operation interventions","No map","No map.NA"
"7481","P088966","evaluate compliance projects environmental objectives targets environmental improvements progress resettlement compensation program","No map","No map.NA"
"7482","P088966","linked planning coordination secretariat semplan","No map","No map.NA"
"7483","P088966","staff composed technical coordinator civil engineers architects social assistants financial analysts","No map","No map.NA"
"7484","P088966","act link pmt bank public private entities involved project execution","SDG 17","SDG 17.17"
"7485","P088966","supervise project activities undertake financial management fm including preparation payment requests based invoices submitted suppliers contractors consultants","No map","No map.NA"
"7486","P088966","assisted process specialized consultants","No map","No map.NA"
"7487","P088966","aligned semplans dayto day modus operandi municipal implementing agencies","No map","No map.NA"
"7488","P088966","aligned semplans daytoday modus operandi municipal implementing agencies","No map","No map.NA"
"7489","P088966","responsible obtaining environmental licensing project interventions coordination implementation activities contained emp compliance norms guidelines contained environmental control program civil","No map","No map.NA"
"7490","P088966","exercise control counterpart contributions proportional project funds pari passu loan agreement reconcile bdb account statement funds received bank municipality monthly basis","No map","No map.NA"
"7491","P088966","support terms accounting budgeting funds flow payments procurement","No map","No map.NA"
"7492","P088966","supervise project activities prepare payment requests based invoices submitted suppliers contractors consultants","No map","No map.NA"
"7493","P088966","pcao divided subprograms ahealth safety site hygienesanitation worksites environmental education workers eat environmental control rehabilitation quarries worksites disposal sites prb","No map","No map.NA"
"7494","P088966","pea based interdependent complementary actions coordinated pmu ilocal environmental education aimed population directly affected adjoining neighborhoods iithe development health environmental education program resettlement","SDG 11","SDG 11.5"
"7495","P088966","pefa framework tool public financial management pfm performance measurement reliable information systems processes institutions time","No map","No map.NA"
"7496","P088966","percentage women living significantly city teresina","SDG 11","SDG 11.6"
"7497","P088966","percentage women living significantly city","SDG 11","SDG 11.6"
"7498","P088966","performance measurement framework identified critical performance dimensions orderly system budget credibility budget comprehensiveness transparency iiipolicybased budgeting iv predictability control budget execution accounting recording reporting vi external scrutiny audit","No map","No map.NA"
"7499","P088966","phrd diagnosis undertaken project preparation unable deal efficiently challenges posed","SDG 7","SDG 7.3"
"7500","P088966","picture fragile natural environment helped equally vulnerable population idea act environmentally hazardous lacks opportunities generating income receives environmental health education orientation","SDG 10","SDG 10.3"
"7501","P088966","pmu complemented experienced individual consultants bank fm procurement safeguards","No map","No map.NA"
"7502","P088966","pooling municipal loans horizontal selected standalone operations means reducing transaction costs consolidating preparation supervision facilitating approval process bank delegating operations board umbrella regional vice presidential level","No map","No map.NA"
"7503","P088966","population grown rapidly due migration rural interior","No map","No map.NA"
"7504","P088966","population living edges lagoons continue suffer periodic floods risks homes health lives livelihoods quality life continue access alternative employment income opportunities","SDG 10","SDG 10.3"
"7505","P088966","population pollutes waterways survives precariously residual natural resources excavation handicraft production smallscale subsistence fishing enjoy urban services water supply sewerage garbage collection access vital improving living conditions respective lagoon basins","SDG 14","SDG 14.4"
"7506","P088966","potential negative environmental impacts concern basically implementation wastewater drainage road improvement lagoon reurbanization minimized adoption bestpractice environmental social guidelines construction","No map","No map.NA"
"7507","P088966","potters seasonal providing subsistence living months decline owing exhaustion clay deposits deterioration quality declining profit margins bricks produced poor quality product difficulty finding market","SDG 4","SDG 4.2"
"7508","P088966","pottery activity intensive involving larger workers","No map","No map.NA"
"7509","P088966","pp information objective procurement process cost estimates method procurement review bank key dates followingup bidding processes announcements calls tendersrfeois bids presentation evaluation reports signature contracts","No map","No map.NA"
"7510","P088966","pp reviewed approved bank","No map","No map.NA"
"7511","P088966","pp consist igoods nonconsulting services including contract packaging applicable procedures process scheduling ii consultant training providers selection process plan projects training consultant services including contract packaging applicable procedures selection criteria","No map","No map.NA"
"7512","P088966","pp reviewed borrower agreed bank february project negotiations semplan","No map","No map.NA"
"7513","P088966","pp updated agreement bank annually required reflect actual project implementation improvements institutional capacity","SDG 16","SDG 16.6"
"7514","P088966","pp details procurement implementation arrangements aspects procurement assessment detailed annex project files","No map","No map.NA"
"7515","P088966","primary results obtained research submitted consistency analysis eliminate inconsistent responses interviewees","SDG 14","SDG 14.a"
"7516","P088966","private sector accounts percent total enrollment preschool teresina schools respond remaining percent","SDG 17","SDG 17.17"
"7517","P088966","process formalizing detailed institutional reform analyses strengthening plans wss service provision developed project preparation","SDG 11","SDG 11.a"
"7518","P088966","process illegal occupation lagoons surrounding expected intensify worsening critical social environmental","No map","No map.NA"
"7519","P088966","procurement consultant selection process plan updated periodically submitted bank quarter december","No map","No map.NA"
"7520","P088966","procurement assessment rated system reviewed deemed acceptable bank procurement risk","SDG 16","SDG 16.10"
"7521","P088966","procurement plan updated annually required reflect actual project implementation improvements institutional capacity","SDG 16","SDG 16.6"
"7522","P088966","procurement supervision plan recommend independent post reviews procurement carried giving scope reviews propose supervision plan include special missions procurement supervision critical project implementation","No map","No map.NA"
"7523","P088966","procurement banks sbd national sbd agreed satisfactory bank","No map","No map.NA"
"7524","P088966","procurement banks standard bidding documents sbd national sbd agreed satisfactory bank","No map","No map.NA"
"7525","P088966","procurement seains sbd agreed bank","No map","No map.NA"
"7526","P088966","program comprises ihuman resources training iipurchase installation critical equipment iii introduction environmental licensing enforcementlinspection control system","SDG 16","SDG 16.10"
"7527","P088966","program activities aimed population resettled citizens lagoas norte teresina designed communicate explain project implementation progress directly affected civil interventions","SDG 11","SDG 11.5"
"7528","P088966","project aims provide residents city leisure recreation opportunities lugoas norte region","No map","No map.NA"
"7529","P088966","project supports national environmental decentralization policies local level","SDG 17","SDG 17.13"
"7530","P088966","project contributes level objectives ppa cas seeking improve quality citys vulnerable populations improving access basic urban services improving quality services promoting governance participation local level government scalingup capacity local governments attack inequality exist informal settlements building capacity local government combat urban mobility brown environmental agenda","SDG 11","SDG 11.3"
"7531","P088966","project coordinator liaise pertinent municipal departments oversee financial administration","No map","No map.NA"
"7532","P088966","project focused physical social interventions lagoas norte region city","No map","No map.NA"
"7533","P088966","project demand driven bank adding additional institutional development rigorous technical evaluation","SDG 9","SDG 9.b"
"7534","P088966","project implemented pmu integral municipal secretariat planning semplan","No map","No map.NA"
"7535","P088966","project includes activities intended provide investments lowincome population region cope daily challenges directly affecting contribute improving social status resettlement population risk quality resident population including living affected improvement ii provision urban social services iiiprovision housing programs improving existing housing iv economic social development programs aimed supporting generation employment income social promotion activities","SDG 4","SDG 4.2"
"7536","P088966","project operations manual specific details responsibilities including data collection requirements timing information","SDG 16","SDG 16.10"
"7537","P088966","project plans resettle families","No map","No map.NA"
"7538","P088966","project classic challenges facing urban municipalities brazil grapple constraints growth social exclusion environmental vulnerabilities identifying financing mechanisms investment","No map","No map.NA"
"7539","P088966","project responds challenge raised banks economic memorandum piaui controlling expansion periurban settlements teresina priority municipal governments project assist municipality ahead curve terms planning socioeconomic development service provision city periurban","SDG 11","SDG 11.3"
"7540","P088966","project team carried switching values simulations equal cb ratio irr","SDG 9","SDG 9.b"
"7541","P088966","project aims undertake focus vulnerable povertystricken regions teresina urban environmental social economic interventions essential improve quality lagoas norte region city majority poor population living safeguard perennial flooding","No map","No map.NA"
"7542","P088966","project triggers addresses bank safeguard policies","SDG 17","SDG 17.13"
"7543","P088966","project subjected environmental assessment conformity bank guidelines projects classified category project envisages interventions imunicipal management modernization including field environmental management service delivery iiintegrated urban environmental improvements local supralocal environment lugous norte region city iiiactivities social inclusion health education service provision job income creation initiatives lugous norte region","No map","No map.NA"
"7544","P088966","project promote initiatives bolster local economic development improve municipal governance including financial budget management strategic planning service delivery improvements","No map","No map.NA"
"7545","P088966","project implemented municipality teresina linked secretaria municipal de planejamento coordenaqzo semplan","No map","No map.NA"
"7546","P088966","project disburse basis soes","No map","No map.NA"
"7547","P088966","project finance furniture equipment ugp software equipment flood warning system","SDG 16","SDG 16.10"
"7548","P088966","project provide pmt ta diagnoses identifying carbon credit opportunities municipality principally related closing existing controlled solid waste landfill operationalization sanitary landfill","SDG 10","SDG 10.3"
"7549","P088966","project support organizational capacity building initiatives pmts environmental bodies including iintroducing consistency procedures organizational structures distribution functions regional environmental bodies ii improving technical capacity staff allocated bodies iii improving supervisiodcontrol systems equipment","SDG 16","SDG 16.10"
"7550","P088966","project support pmt structuring longterm solution ensure aligned federal wss law january","SDG 14","SDG 14.c"
"7551","P088966","project undertake activities assist potters iprofessional training employment activities market demand iitraining entrepreneurs creation businesses iiisupport cooperative ventures iv support upgrading quality ceramic products support legal regularization pottery activities identification deposits","SDG 8","SDG 8.5"
"7552","P088966","project provide support activity pursued conformity legal requirements","SDG 16","SDG 16.9"
"7553","P088966","projection costs benefits assessments calculated basis period discounted rate aproxy opportunity cost capital country","SDG 10","SDG 10.3"
"7554","P088966","projects substantial intervention construction ete wastewater treatment plant built vacant land require resettlement","SDG 2","SDG 2.5"
"7555","P088966","projects perceived positive negative environmental impacts measures proposed maximize mitigate environmental assessment report ear relevant issues related bank safeguards triggered project","SDG 16","SDG 16.1"
"7556","P088966","proposed bank lagoas norte project build experience scale entire region city benefits quality life inclusion dynamics city","SDG 11","SDG 11.6"
"7557","P088966","proposed bankfinanced enhancing municipal governance quality project progrumu lagoas norte designed respond key development challenges facing municipal government teresina urbanenvironmentalsocial encountered lagoas norte region city specifically consistent municipal sectoral development actions programs underway bodies undertaken recent","SDG 4","SDG 4.2"
"7558","P088966","proposed bankfinanced project designed complement initiatives actions focused institutional strengthening","SDG 16","SDG 16.6"
"7559","P088966","proposed project intends maximize cultural leisure sport environmental conservation potential lagoas norte region","SDG 15","SDG 15.b"
"7560","P088966","proposed project supports national policy objectives activities strengthen capacity municipal environmental entities","No map","No map.NA"
"7561","P088966","proposed teresina operation grounded rich analytical framework policy dialogue bank gob urban development municipal fiscal policy land management housing basic urban services poor decentralized environmental management","No map","No map.NA"
"7562","P088966","public fitted lighting","SDG 17","SDG 17.17"
"7563","P088966","public health network private healthcare facilities extensive","SDG 17","SDG 17.17"
"7564","P088966","public health network private healthcare facilities extensive","SDG 17","SDG 17.17"
"7565","P088966","pumping system operation aims maintain level oleiros lagoon sea level pumps coming operation capacity ms level reaches","SDG 16","SDG 16.10"
"7566","P088966","purpose manual guide instruct management ensure performance executing bodies","No map","No map.NA"
"7567","P088966","quality current housing extremely precarious insalubrious frequently affected flooding","SDG 1","SDG 1.1"
"7568","P088966","questionnaire contained questions presence absence features access urban services properties","SDG 8","SDG 8.10"
"7569","P088966","rainy season sharp rise level parnaiba poti rivers april torrential rains frequent","No map","No map.NA"
"7570","P088966","rationale bank involvement brazil municipal lending program covered umbrella document","No map","No map.NA"
"7571","P088966","recently approved federal law water supply sanitation brings longawaited clarity institutional regulatory planning service provision aspects sector","SDG 6","SDG 6.2"
"7572","P088966","reference cards additional sources financing andor planned interventions underway implemented parties including proposed counterpart financing federal government","SDG 9","SDG 9.b"
"7573","P088966","reference cards project files detail complement information interventions","SDG 16","SDG 16.10"
"7574","P088966","region lagoons formed paleocanals parnaiba river mocambinho lagoon forming independent superficial drainage slo francisco mocambinho poti velho olarias alto alegre itaperu mafiense joaquim nova brasilia aeroporto alvorada matadouro acarape system","SDG 16","SDG 16.10"
"7575","P088966","largescale actions parallel engineering design resettlement carefully phased coincide implementation delays bureaucratic requiring resettlement executed","SDG 3","SDG 3.2"
"7576","P088966","remaining operations bmlp including proposed teresina lagoas norte project approved regional vice presidency established approval procedures horizontal apls rvp approves followon principle project documents circulated board tenday comment period ed comments received time rvp approval effective","No map","No map.NA"
"7577","P088966","remaining operations bmlp including proposed teresina lagoas norte project approved regional vice presidency established approval procedures horizontal apls","No map","No map.NA"
"7578","P088966","report project files key findings pefa analysis","No map","No map.NA"
"7579","P088966","response project social challenges project covers activities intended provide technical assistance investments coping directly affecting lowincome population lagoas norte","No map","No map.NA"
"7580","P088966","result regression properties affected interventions proposed project","No map","No map.NA"
"7581","P088966","resulting settlements consisted adobe houses covered straw tile roofs","No map","No map.NA"
"7582","P088966","results economic analysis major subcomponent summarized table","No map","No map.NA"
"7583","P088966","results teresinas explosive growth disorderly expansion organization urban space landuse activities","SDG 11","SDG 11.7"
"7584","P088966","results explosive growth teresina disorderly expansion organization urban space landuse activities","SDG 11","SDG 11.7"
"7585","P088966","results results analysis robust","No map","No map.NA"
"7586","P088966","revenue performance reflected economic downturn brazilian economy current decade strong fiscal adjustment federal government governments implemented recent constrained transfers municipality","No map","No map.NA"
"7587","P088966","risk assessment matrix summarizes degree risk items related financial management project","No map","No map.NA"
"7588","P088966","risk assessment matrix annex summarizes degree risk items related project financial management action plan strengthen fm arrangements","No map","No map.NA"
"7589","P088966","road system improvements proposed project envisage interventions major thoroughfares transversal roads","SDG 16","SDG 16.10"
"7590","P088966","roads concern lagoas norte region provide main access routes city center main northerly road city","SDG 11","SDG 11.6"
"7591","P088966","robustness conclusion supported results sensitivity analysis carried","No map","No map.NA"
"7592","P088966","rpf developed resettled families businesses minimum promoting preservation network social cultural economic relationships exist affected essential urban social services provided relocated families","No map","No map.NA"
"7593","P088966","rpf sets policies guidelines practice resettlement families required project implementation","SDG 17","SDG 17.13"
"7594","P088966","rpf guide preparation related engineering designs subproject preparation","No map","No map.NA"
"7595","P088966","applies contract obr obr shown procurement plan construction expansion restoration health units schools public market siio joaquim","SDG 17","SDG 17.17"
"7596","P088966","framework reassess pmts financial budget management performance project implementation track improvements expected result project interventions","No map","No map.NA"
"7597","P088966","sanitation solution adopted households lagoons region consists septic tanks dry pits liable water tables disposal wastewater ground streets drains directly lagoons","SDG 6","SDG 6.2"
"7598","P088966","sducn responsibility basis specific agreement signed semplan supervising provision civil services exception consultancy services lagoas norte intervention","No map","No map.NA"
"7599","P088966","objective attained preparation implementation physical environmental social service delivery activities lowincome lagoas norte region city","No map","No map.NA"
"7600","P088966","objective attained preparation implementation recently approved federal wss law january brings longawaited clarity institutional regulatory planning service provision aspects sector physical environmental social service delivery activities lowincome lagoas norte region city","No map","No map.NA"
"7601","P088966","subcomponent concerned benefits obtained basis hedonic price function generated regression basis access variable economic costs costs project components included analyses including activities related urban infrastructure institutional strengthening management support civil supervision subsidiary activities","SDG 16","SDG 16.1"
"7602","P088966","secretary semplan coordinating office send checks effect payments","No map","No map.NA"
"7603","P088966","selection employment consultants carried arrangements acceptable bank banks standard forms contracts","No map","No map.NA"
"7604","P088966","semae isign program contract incumbent water company agespisa arrangement contrato de programa ii semae staffedup provide wss services directly iii sign perfomancebased service contract limited investment requirements competitively selected operator arrangement contrato de gestfio operaqo iv sign concession contract competitively selected operator federal law concesiib ppp patrocinada","SDG 14","SDG 14.c"
"7605","P088966","semae isign aprogram contract incumbent water company agespisa arrangement contrato de programa ii semae staffedup provide wss services iiisign performancebased service contract limited investment requirements competitively selected operator arrangement contrato de gestdo operaqdo iv sign concession contract competitively selected operator federal law concesdo ppp patrocinadd","SDG 14","SDG 14.c"
"7606","P088966","shortage financial resources led pmt seek partnerships effort overcome primary education funding","No map","No map.NA"
"7607","P088966","shortfall attendance accounted units lacking physical space accommodate psf teams iia lack health reference units neighborhoods","SDG 11","SDG 11.7"
"7608","P088966","signing agreement allowed gob provided grant financing resources gepi agespisa invest expansion improvement wss teresina short term","SDG 17","SDG 17.5"
"7609","P088966","situation concern olarias percent homes possess bathroom lavatory single household connected wastewater network","No map","No map.NA"
"7610","P088966","size sample postreview","No map","No map.NA"
"7611","P088966","solid waste produced region considered poor quality quantity organic material percent","SDG 12","SDG 12.4"
"7612","P088966","solutions proposed scenario identified social environmental technical view","No map","No map.NA"
"7613","P088966","sources financial income form proposed project iptu ii itbi iii water supply sewerage tariffs charged agespisa water company","No map","No map.NA"
"7614","P088966","sources financial income project include tariffs based agespisas current tariff structure analysis wss interventions","No map","No map.NA"
"7615","P088966","special integrated action component covers major programs proposed bankfinanced lagoas norte project health hub de satide program program revitalizing city centre vilabairro program","SDG 11","SDG 11.3"
"7616","P088966","specific experiences lessonslearned project bring scalingup upgrading interventions slum lowincome laguas norte region city analyzed consolidated expanded city support subcomponent","SDG 11","SDG 11.6"
"7617","P088966","standard conversion factor fcp applied land materials equipment chemical products","SDG 12","SDG 12.4"
"7618","P088966","municipal networks started de facto market specialization withdrew educaqdo infantil operating ensino medio anymore","No map","No map.NA"
"7619","P088966","lies brazils northern coast transition semiarid sertao east ceara pernambuco bahia humid cerrado south west tocantins maranhilo","SDG 17","SDG 17.6"
"7620","P088966","lies brazils northern coast transition semiarid sertzo east ceara pernambuco bahia humid cerrado south west tocantins maranhiio","SDG 17","SDG 17.6"
"7621","P088966","school network experienced reduction demand ensino fundamental managed nonoccupied installations meet rising demand ensino medio","SDG 16","SDG 16.10"
"7622","P088966","steering committee meet quarterly review progress implementation annual operative plan aop specifically approve reports submitted bank financial management reports implementation progress reports strategic decisions project progress release resources municipal budget replenishment designated account","No map","No map.NA"
"7623","P088966","steering committee meet quarterly review progress implementation annual operative plan aop specifically approve reports submitted bank financial management reports implementation progress reports strategic decisions project progress release resources municipal budget replenishment designated account","No map","No map.NA"
"7624","P088966","strengths weaknesses aspects considered improving quality life population emphasis strategies macroobjectives attain desirable scenario examined result process decided prioritize strategic action ieconomic aptitudes employment iithe spatial aspects teresina iii social integration","SDG 4","SDG 4.2"
"7625","P088966","strong stillintact cultural features region economic activities distinct rest city reinforce explored aspect region","SDG 11","SDG 11.6"
"7626","P088966","subcomponent provide ta municipal government undertake diagnoses pmts current approaches land urban housing regularization slum low income bring bestpractice experience brazil including involvement private sector process modernize approaches bring efficiency regularization process","SDG 17","SDG 17.17"
"7627","P088966","subcomponent undertake diagnoses provide ta assist understanding dynamics local housing market analyzing demand land housing support pmts efforts ahead curve regard provision plots land sites services housing stock","No map","No map.NA"
"7628","P088966","substantial primary balances obtained past impressive reduction net debt projections fiscal balances based realistic assumptions teresina sufficient capacity repay contract debt","SDG 17","SDG 17.4"
"7629","P088966","substantial primary balances obtained past impressive reduction net debt projections fiscal balances based realistic assumptions teresina sufficient capacity repay contract debt","SDG 17","SDG 17.4"
"7630","P088966","support project bring central planning budgeting financial management subcomponent education services management subcomponent identified relevance strategic decisionmaking utilization scarce resources municipality","No map","No map.NA"
"7631","P088966","support comprise ihuman resources training iipurchase installation equipment iiiintroduction environmental licensing enforcementhnspection control system","SDG 16","SDG 16.10"
"7632","P088966","system organized modules modules linked interrelated routines activities operations similar characteristics iplanning control module iifinancial module iiiaccounts module iv physical module management module management users permissions module","SDG 16","SDG 16.10"
"7633","P088966","system designed reproduce official accounts data imported automatically current situation municipalitys budgeting categories program components subcomponents actions","SDG 16","SDG 16.10"
"7634","P088966","system centralized bids contracts generated","SDG 16","SDG 16.10"
"7635","P088966","system provide timely information progress execution project enabling users rapid decisions covering qualitative quantitative technical aspects subprojects contractual operational bidding administrative accounting financial matters concerned execution project","SDG 16","SDG 16.7"
"7636","P088966","technical studies analyses undertaken properly design project elements related drainage wss roadhtreet systems green leisure spaces housing improvements urban upgrading established size scope interventions implemented","SDG 16","SDG 16.1"
"7637","P088966","teresina lagoas norte project brazil municipal lending program umbrella apl","No map","No map.NA"
"7638","P088966","procurement units staffed procurement officers","No map","No map.NA"
"7639","P088966","uasbs designed located classified waters human supply conventional treatment protection aquatic communities fishing recreation involving primary contact swimming waterskiing diving irrigating vegetables trees parks gardens football fields leisure public direct contact lowest subbasins projected achieve wastewater purification rate percent terms organic load reduction","SDG 14","SDG 14.4"
"7640","P088966","urban environmental effectively circular contributing aggravation","No map","No map.NA"
"7641","P088966","urban corresponds ercent municipal territory average density inhabitants km","No map","No map.NA"
"7642","P088966","urban corresponds ercent municipal territory average density inhabitants km municipality occupies km km classified urban","No map","No map.NA"
"7643","P088966","urban development component concerned construction physical spaces","SDG 11","SDG 11.7"
"7644","P088966","urbanistic layout locations resettlement families lagoas norte region homes housing units families vicinity region east aeroporto neighborhood","No map","No map.NA"
"7645","P088966","urbanistic layout design includes establishment sports leisure facilities revegetatiodlandscaping banks lagoons","No map","No map.NA"
"7646","P088966","urbanistic layouts designs lagoas norte region related reports project files","SDG 16","SDG 16.1"
"7647","P088966","urbdlandscaping design contributes development lagoas norte region marrying improvements basic infrastructure social services enhancement local environment additional overarching aim region attractive visit citys residents","SDG 11","SDG 11.6"
"7648","P088966","variable benefits identified possessing significant impact result interventions","No map","No map.NA"
"7649","P088966","wastewater garbage serve transform lagoon system major source disease discomfort population","SDG 16","SDG 16.10"
"7650","P088966","water level lagoons increase rainy season due presence clay slowly evaporates period months dry season","SDG 6","SDG 6.4"
"7651","P088966","water quality lagoons undergoing significant noticeable increasing odor nuisance vicinity","SDG 6","SDG 6.3"
"7652","P088966","water supply system teresina serves approximately percent population","SDG 6","SDG 6.4"
"7653","P088966","weak deteriorating financial situation agespisa absence significant proposal reverse situation major shareholder government led reevaluate institutional model wss service provision city","SDG 11","SDG 11.6"
"7654","P088966","city population benefit indirectly pmts improvements financial budget management environmental licensing control urban management activities intended result effective efficient municipal management","No map","No map.NA"
"7655","P088966","instructions detailed operational manual indicating standard bidding documents request proposals samples reporting procurement forms contract timetables model tor relevant information related procurement operation","SDG 16","SDG 16.1"
"7656","P088966","wtp measure calculated represents median dependent variable detailed report project files","No map","No map.NA"
"7657","P088966","yearend reports ifrs serve external audit purposes","No map","No map.NA"
"7658","P088966","conditions effectiveness project implementation bidding processes involve resettlement proceed bank prior review approval respective resettlement action plan","No map","No map.NA"
"7659","P088966","records formal economic activity olarias","No map","No map.NA"
"7660","P088966","federal counterpart prepared multisector nature municipal operations lending federal level subnational interventions proving inefficient ineffective sectors brazil","No map","No map.NA"
"7661","P088966","opportunity improve allocation human infrastructure resources improving pmts management practices tools intersecretariat coordination education sector","SDG 10","SDG 10.3"
"7662","P088966","adequate space proposed ete site implementing phase treatment monitoring demonstrate","SDG 11","SDG 11.7"
"7663","P088966","environmental specialist appointed coordinate responsibilities specialist supervise environmental impact questions civil interventions","No map","No map.NA"
"7664","P088966","teresina increased space indebtedness","SDG 11","SDG 11.7"
"7665","P088966","share project cost net taxes","No map","No map.NA"
"7666","P088966","employed informally people regard owners clay deposits informally","SDG 10","SDG 10.7"
"7667","P088966","provided basis partnerships established community bodies funds provided municipal federal programs","No map","No map.NA"
"7668","P088966","associations play role municipal social assistance network childadolescent care","No map","No map.NA"
"7669","P088966","benefits estimated analyzing incremental impact reduction illegal connections utility additional water distribution result reduced physical losses","SDG 9","SDG 9.b"
"7670","P088966","costs corrected reflect current prices ipca","No map","No map.NA"
"7671","P088966","factors conspire induce erosion devegetation silting increased flooding increased opportunity diseasecausing vectors breed","SDG 10","SDG 10.3"
"7672","P088966","families resettled","No map","No map.NA"
"7673","P088966","families benefit largest chunk investments project view bringing substantial improvement quality lives neighborhoods live","SDG 17","SDG 17.5"
"7674","P088966","hazards expected diminished project implementation","No map","No map.NA"
"7675","P088966","improvements require removing households lower affected flooding andor living deemed unhealthy risky groundwater levels sewerage drainage interventions difficult costly","SDG 11","SDG 11.5"
"7676","P088966","include limited capacity iproperly manage account projects proceeds expenditures transactions iiproduce timely accurate reliable financial statements reports including interim audited financial reports ifrs banks special purposes iiisafeguard projects assets iv timely engagement independent auditors acceptable bank disburse bank funds efficient accordance applicable bank rules procedures","No map","No map.NA"
"7677","P088966","predominance females population workforce predominantly male workers rural educational levels low monthly income exceed minimum salaries lack opportunities job market shortage capital drive workers informal sector","SDG 10","SDG 10.3"
"7678","P088966","interventions included integrated urbanenvironmental development component absorbs projects financial resources","No map","No map.NA"
"7679","P088966","interventions consist activities revitalize natural environments recovering water quality heavily polluted lagoons reestablishing lagoonand riverside flora","SDG 6","SDG 6.3"
"7680","P088966","interventions consist activities revitalize natural environments recovering water quality heavily polluted lagoons reestablishing lagoon riverside flora","SDG 6","SDG 6.3"
"7681","P088966","involve fostering integration sectoral activities levels government civil society organizations establishing concept people agents mere beneficiaries development process","SDG 10","SDG 10.7"
"7682","P088966","measures include positive impacts microclimate revegetation lagoon river banks recovery flora fauna","SDG 15","SDG 15.8"
"7683","P088966","priorities component ihuman social development iiurban development iiieconomic growth iv integrated action special municipal management modernization governance","No map","No map.NA"
"7684","P088966","priorities component","No map","No map.NA"
"7685","P088966","questions assessing impact features current homes inumber floors iinumber iiitype building materials brickwork timber iv residence mixed class occupation owneroccupied rented vi officially regularized plot yesho vii wastewater disposal sewage network septic tank air discharge viii garbage disposal doortodoor collection specific dumping ix water supply network meter network meter clandestine connections toilethathroom arrangements internal external collective xi microdrainage gutter surface drainage xii paving asphalt stone xiii proximity public services school health post police post","SDG 6","SDG 6.3"
"7686","P088966","scenarios solutions discussed detail public consultation meeting undertaken environmental impact assessment","SDG 17","SDG 17.17"
"7687","P088966","services coordinated organized social assistance reference centre cras municipal government body presence sociallyvulnerable","No map","No map.NA"
"7688","P088966","services provided primarily basis partnerships communitycivil society organizations","No map","No map.NA"
"7689","P088966","services hired based lowest evaluated price qualified firms offer courses covering required content","No map","No map.NA"
"7690","P088966","studies provided inputs evaluating alternative designs defining investments preparing rpf ea preparing additional project documentation required","No map","No map.NA"
"7691","P088966","themes selected federal government municipalities priorities municipal assistance program","No map","No map.NA"
"7692","P088966","variables effectively define issues financial viability sustainability activities undertaken obvious constraints imposed current laws payment rates taxes utility charges population consideration","SDG 17","SDG 17.1"
"7693","P088966","include negotiations revisions loan agreement related documentation supervision inspection functional levels iiexecutor borrower pmt level management responsibilities concern biddingkendering procedures rfps tors specifications studies plans basic detailed engineering designs supervision services provided consultants undertaken supplied operational processes iii supplier level execution supply consultancy services inspectedherified pmu sducn reviewed bank exante expost basis defined loan agreement","SDG 16","SDG 16.1"
"7694","P088966","aforementioned degraded natural environments lagoons precisely conditions project aims improve","SDG 15","SDG 15.3"
"7695","P088966","contribute level objectives seeking raise wellbeing countrys vulnerable populations improving access quality basic urban services promoting governance participation local level scaling capacity municipalities address challenges informal settlements urban strengthening ability local governments promote employment income generation combat environmental degradation","SDG 11","SDG 11.3"
"7696","P088966","accounts prevalence women seeking professional training jobs","SDG 5","SDG 5.5"
"7697","P088966","activity consists designing internal control system model defining rules staff","SDG 16","SDG 16.10"
"7698","P088966","aim integrated development risks difficulties objectives overly complex christmas tree approach weighs implementing coordinating agencies","SDG 12","SDG 12.1"
"7699","P088966","alternative discarded low assimilation capacity lagoons receiving bodies dry season resulted improvement lagoons water quality compared situation","SDG 6","SDG 6.3"
"7700","P088966","alternative leaving region septic tanks rejected water quality modeling exercise demonstrated guarantee depollution lagoons","SDG 6","SDG 6.3"
"7701","P088966","annex summary results safeguard policy analyses related technical social analyses undertaken project preparation compliance bank policies","SDG 16","SDG 16.1"
"7702","P088966","approach contributes resettlement solutions provide flexible social arrangements","No map","No map.NA"
"7703","P088966","assessment proposes thresholds prior review bank","No map","No map.NA"
"7704","P088966","brazil municipal lending program structured horizontal adaptable program loan apl consisting operations key cities common focus poverty alleviation urban environment local economic development municipal management","SDG 11","SDG 11.6"
"7705","P088966","clay extracted manually bricks tiles","No map","No map.NA"
"7706","P088966","component comprises complementary interventions component lagoas norte region including iactions strengthen community associations community improve access eligible families projects social programs crbches basic health education services iiundertaking environmental sanitary education promotion activities region iii promoting employment wealth creation programs locally iv renovatiodexpansion construction community facilities health posts schools analysis support social control public service provision watchdog fwnction lagoas norte including community mobilization participation interventions","No map","No map.NA"
"7707","P088966","component encompasses undertaking activities thirteen neighborhoods constitute lagoas norte region city iinterventions optimize expand water supply delivery iiimplementation wastewater collection transmission treatment systems iiiexecution critical urban macro microdrainage interventions iv actions recuperate natural environmental aspects regions lagoon canal network adjacent banks parnaiba poti rivers interventions urban upgrading rehabilitation construction green spaces parks leisure community spaces vi interventions improve local road network improve traffic flow access safety region including ubiquitous bicycles vii undertaking resettlement beneficiary families risk implementing housing improvements eligible households viii undertaking engineering design supervision","SDG 11","SDG 11.6"
